,target_code,filepath,set
0,0,..\datasets\cassava-leaf-disease-classification\train_images\1000015157.jpg,test
1,3,..\datasets\cassava-leaf-disease-classification\train_images\1000201771.jpg,train
2,1,..\datasets\cassava-leaf-disease-classification\train_images\100042118.jpg,valid
3,1,..\datasets\cassava-leaf-disease-classification\train_images\1000723321.jpg,train
4,3,..\datasets\cassava-leaf-disease-classification\train_images\1000812911.jpg,valid
5,3,..\datasets\cassava-leaf-disease-classification\train_images\1000837476.jpg,train
6,2,..\datasets\cassava-leaf-disease-classification\train_images\1000910826.jpg,train
7,0,..\datasets\cassava-leaf-disease-classification\train_images\1001320321.jpg,train
8,4,..\datasets\cassava-leaf-disease-classification\train_images\1001723730.jpg,train
9,3,..\datasets\cassava-leaf-disease-classification\train_images\1001742395.jpg,train
10,3,..\datasets\cassava-leaf-disease-classification\train_images\1001749118.jpg,train
11,3,..\datasets\cassava-leaf-disease-classification\train_images\100204014.jpg,train
12,1,..\datasets\cassava-leaf-disease-classification\train_images\1002088496.jpg,train
13,3,..\datasets\cassava-leaf-disease-classification\train_images\1002255315.jpg,train
14,3,..\datasets\cassava-leaf-disease-classification\train_images\1002394761.jpg,train
15,2,..\datasets\cassava-leaf-disease-classification\train_images\1003218714.jpg,train
16,3,..\datasets\cassava-leaf-disease-classification\train_images\1003298598.jpg,train
17,4,..\datasets\cassava-leaf-disease-classification\train_images\1003442061.jpg,test
18,0,..\datasets\cassava-leaf-disease-classification\train_images\1003888281.jpg,train
19,3,..\datasets\cassava-leaf-disease-classification\train_images\1003987001.jpg,train
20,3,..\datasets\cassava-leaf-disease-classification\train_images\1004105566.jpg,valid
21,3,..\datasets\cassava-leaf-disease-classification\train_images\1004163647.jpg,train
22,1,..\datasets\cassava-leaf-disease-classification\train_images\1004389140.jpg,train
23,3,..\datasets\cassava-leaf-disease-classification\train_images\1004672608.jpg,train
24,2,..\datasets\cassava-leaf-disease-classification\train_images\100472565.jpg,train
25,2,..\datasets\cassava-leaf-disease-classification\train_images\1004826518.jpg,train
26,3,..\datasets\cassava-leaf-disease-classification\train_images\1004881261.jpg,train
27,3,..\datasets\cassava-leaf-disease-classification\train_images\1005138819.jpg,train
28,2,..\datasets\cassava-leaf-disease-classification\train_images\1005200906.jpg,train
29,2,..\datasets\cassava-leaf-disease-classification\train_images\100533489.jpg,test
30,4,..\datasets\cassava-leaf-disease-classification\train_images\100560400.jpg,train
31,3,..\datasets\cassava-leaf-disease-classification\train_images\1005695738.jpg,valid
32,3,..\datasets\cassava-leaf-disease-classification\train_images\1005739807.jpg,train
33,3,..\datasets\cassava-leaf-disease-classification\train_images\100609661.jpg,valid
34,3,..\datasets\cassava-leaf-disease-classification\train_images\1007196516.jpg,train
35,3,..\datasets\cassava-leaf-disease-classification\train_images\1007246985.jpg,train
36,3,..\datasets\cassava-leaf-disease-classification\train_images\100731318.jpg,train
37,3,..\datasets\cassava-leaf-disease-classification\train_images\1007533812.jpg,train
38,3,..\datasets\cassava-leaf-disease-classification\train_images\1007700625.jpg,train
39,3,..\datasets\cassava-leaf-disease-classification\train_images\1007891044.jpg,train
40,3,..\datasets\cassava-leaf-disease-classification\train_images\1008126487.jpg,train
41,1,..\datasets\cassava-leaf-disease-classification\train_images\1008142548.jpg,train
42,1,..\datasets\cassava-leaf-disease-classification\train_images\1008244905.jpg,train
43,3,..\datasets\cassava-leaf-disease-classification\train_images\1008284502.jpg,train
44,3,..\datasets\cassava-leaf-disease-classification\train_images\1008532311.jpg,train
45,3,..\datasets\cassava-leaf-disease-classification\train_images\1009037539.jpg,test
46,3,..\datasets\cassava-leaf-disease-classification\train_images\1009049118.jpg,train
47,4,..\datasets\cassava-leaf-disease-classification\train_images\1009126931.jpg,train
48,1,..\datasets\cassava-leaf-disease-classification\train_images\1009148537.jpg,train
49,3,..\datasets\cassava-leaf-disease-classification\train_images\1009268848.jpg,train
50,3,..\datasets\cassava-leaf-disease-classification\train_images\1009322597.jpg,train
51,3,..\datasets\cassava-leaf-disease-classification\train_images\1009361983.jpg,train
52,2,..\datasets\cassava-leaf-disease-classification\train_images\1009431532.jpg,train
53,3,..\datasets\cassava-leaf-disease-classification\train_images\1009441020.jpg,test
54,3,..\datasets\cassava-leaf-disease-classification\train_images\1009462599.jpg,train
55,3,..\datasets\cassava-leaf-disease-classification\train_images\1009489704.jpg,train
56,3,..\datasets\cassava-leaf-disease-classification\train_images\1009495847.jpg,train
57,3,..\datasets\cassava-leaf-disease-classification\train_images\1009704586.jpg,train
58,2,..\datasets\cassava-leaf-disease-classification\train_images\1009749557.jpg,valid
59,3,..\datasets\cassava-leaf-disease-classification\train_images\1009845426.jpg,train
60,1,..\datasets\cassava-leaf-disease-classification\train_images\1010470173.jpg,valid
61,3,..\datasets\cassava-leaf-disease-classification\train_images\1010648150.jpg,valid
62,4,..\datasets\cassava-leaf-disease-classification\train_images\1010806468.jpg,train
63,3,..\datasets\cassava-leaf-disease-classification\train_images\1010855776.jpg,train
64,3,..\datasets\cassava-leaf-disease-classification\train_images\1010899191.jpg,train
65,3,..\datasets\cassava-leaf-disease-classification\train_images\1011139244.jpg,train
66,3,..\datasets\cassava-leaf-disease-classification\train_images\1011422445.jpg,train
67,4,..\datasets\cassava-leaf-disease-classification\train_images\1011571614.jpg,valid
68,2,..\datasets\cassava-leaf-disease-classification\train_images\1011602291.jpg,train
69,3,..\datasets\cassava-leaf-disease-classification\train_images\1011858443.jpg,valid
70,4,..\datasets\cassava-leaf-disease-classification\train_images\1011909285.jpg,train
71,4,..\datasets\cassava-leaf-disease-classification\train_images\1012257169.jpg,train
72,1,..\datasets\cassava-leaf-disease-classification\train_images\1012305013.jpg,test
73,0,..\datasets\cassava-leaf-disease-classification\train_images\1012426959.jpg,test
74,1,..\datasets\cassava-leaf-disease-classification\train_images\101253257.jpg,train
75,3,..\datasets\cassava-leaf-disease-classification\train_images\1012599090.jpg,train
76,1,..\datasets\cassava-leaf-disease-classification\train_images\1012623980.jpg,train
77,3,..\datasets\cassava-leaf-disease-classification\train_images\1012755275.jpg,train
78,1,..\datasets\cassava-leaf-disease-classification\train_images\1012804587.jpg,train
79,4,..\datasets\cassava-leaf-disease-classification\train_images\1012902365.jpg,train
80,3,..\datasets\cassava-leaf-disease-classification\train_images\1013678821.jpg,train
81,3,..\datasets\cassava-leaf-disease-classification\train_images\1013734375.jpg,valid
82,3,..\datasets\cassava-leaf-disease-classification\train_images\1014087087.jpg,test
83,4,..\datasets\cassava-leaf-disease-classification\train_images\1014332426.jpg,train
84,2,..\datasets\cassava-leaf-disease-classification\train_images\1014359226.jpg,train
85,3,..\datasets\cassava-leaf-disease-classification\train_images\1014365825.jpg,train
86,3,..\datasets\cassava-leaf-disease-classification\train_images\1014433832.jpg,train
87,1,..\datasets\cassava-leaf-disease-classification\train_images\1014492188.jpg,valid
88,3,..\datasets\cassava-leaf-disease-classification\train_images\1014810796.jpg,train
89,3,..\datasets\cassava-leaf-disease-classification\train_images\1014888611.jpg,train
90,3,..\datasets\cassava-leaf-disease-classification\train_images\1015034348.jpg,train
91,3,..\datasets\cassava-leaf-disease-classification\train_images\1015143489.jpg,train
92,2,..\datasets\cassava-leaf-disease-classification\train_images\1015749198.jpg,train
93,1,..\datasets\cassava-leaf-disease-classification\train_images\1016027375.jpg,train
94,3,..\datasets\cassava-leaf-disease-classification\train_images\1016258639.jpg,train
95,3,..\datasets\cassava-leaf-disease-classification\train_images\1016334938.jpg,train
96,1,..\datasets\cassava-leaf-disease-classification\train_images\1016415263.jpg,train
97,1,..\datasets\cassava-leaf-disease-classification\train_images\10169000.jpg,train
98,2,..\datasets\cassava-leaf-disease-classification\train_images\1016955090.jpg,valid
99,3,..\datasets\cassava-leaf-disease-classification\train_images\1017006970.jpg,valid
100,2,..\datasets\cassava-leaf-disease-classification\train_images\101712540.jpg,train
101,4,..\datasets\cassava-leaf-disease-classification\train_images\1017415426.jpg,train
102,2,..\datasets\cassava-leaf-disease-classification\train_images\1017667711.jpg,train
103,2,..\datasets\cassava-leaf-disease-classification\train_images\1017670009.jpg,train
104,4,..\datasets\cassava-leaf-disease-classification\train_images\1017827385.jpg,train
105,3,..\datasets\cassava-leaf-disease-classification\train_images\1017890227.jpg,train
106,3,..\datasets\cassava-leaf-disease-classification\train_images\1018433055.jpg,train
107,1,..\datasets\cassava-leaf-disease-classification\train_images\1018450745.jpg,valid
108,3,..\datasets\cassava-leaf-disease-classification\train_images\101876866.jpg,train
109,0,..\datasets\cassava-leaf-disease-classification\train_images\1018973237.jpg,valid
110,3,..\datasets\cassava-leaf-disease-classification\train_images\1019359196.jpg,train
111,4,..\datasets\cassava-leaf-disease-classification\train_images\1019366633.jpg,train
112,4,..\datasets\cassava-leaf-disease-classification\train_images\1019398233.jpg,valid
113,3,..\datasets\cassava-leaf-disease-classification\train_images\1019486948.jpg,train
114,3,..\datasets\cassava-leaf-disease-classification\train_images\101960837.jpg,train
115,3,..\datasets\cassava-leaf-disease-classification\train_images\1020196137.jpg,train
116,3,..\datasets\cassava-leaf-disease-classification\train_images\1020245430.jpg,train
117,3,..\datasets\cassava-leaf-disease-classification\train_images\1020387881.jpg,train
118,0,..\datasets\cassava-leaf-disease-classification\train_images\102039365.jpg,valid
119,3,..\datasets\cassava-leaf-disease-classification\train_images\1020423203.jpg,train
120,3,..\datasets\cassava-leaf-disease-classification\train_images\1020636424.jpg,train
121,1,..\datasets\cassava-leaf-disease-classification\train_images\1020936674.jpg,train
122,2,..\datasets\cassava-leaf-disease-classification\train_images\1021655183.jpg,train
123,0,..\datasets\cassava-leaf-disease-classification\train_images\1021758544.jpg,train
124,3,..\datasets\cassava-leaf-disease-classification\train_images\1022008227.jpg,train
125,3,..\datasets\cassava-leaf-disease-classification\train_images\1022283943.jpg,train
126,3,..\datasets\cassava-leaf-disease-classification\train_images\1022307478.jpg,test
127,3,..\datasets\cassava-leaf-disease-classification\train_images\1022475063.jpg,train
128,3,..\datasets\cassava-leaf-disease-classification\train_images\1022790491.jpg,train
129,3,..\datasets\cassava-leaf-disease-classification\train_images\1022850256.jpg,test
130,4,..\datasets\cassava-leaf-disease-classification\train_images\1022932733.jpg,train
131,3,..\datasets\cassava-leaf-disease-classification\train_images\1023151050.jpg,train
132,4,..\datasets\cassava-leaf-disease-classification\train_images\1023663951.jpg,train
133,3,..\datasets\cassava-leaf-disease-classification\train_images\1023837322.jpg,train
134,3,..\datasets\cassava-leaf-disease-classification\train_images\1023937437.jpg,train
135,4,..\datasets\cassava-leaf-disease-classification\train_images\1024067372.jpg,train
136,0,..\datasets\cassava-leaf-disease-classification\train_images\1024089865.jpg,train
137,3,..\datasets\cassava-leaf-disease-classification\train_images\1024191493.jpg,train
138,2,..\datasets\cassava-leaf-disease-classification\train_images\1024367055.jpg,train
139,3,..\datasets\cassava-leaf-disease-classification\train_images\102447703.jpg,train
140,1,..\datasets\cassava-leaf-disease-classification\train_images\1024504187.jpg,valid
141,0,..\datasets\cassava-leaf-disease-classification\train_images\102485576.jpg,train
142,3,..\datasets\cassava-leaf-disease-classification\train_images\1024995071.jpg,train
143,3,..\datasets\cassava-leaf-disease-classification\train_images\1025060651.jpg,train
144,3,..\datasets\cassava-leaf-disease-classification\train_images\1025198223.jpg,valid
145,2,..\datasets\cassava-leaf-disease-classification\train_images\1025466430.jpg,train
146,3,..\datasets\cassava-leaf-disease-classification\train_images\1025492337.jpg,train
147,2,..\datasets\cassava-leaf-disease-classification\train_images\1025511060.jpg,train
148,3,..\datasets\cassava-leaf-disease-classification\train_images\1025557405.jpg,train
149,3,..\datasets\cassava-leaf-disease-classification\train_images\1025616565.jpg,test
150,3,..\datasets\cassava-leaf-disease-classification\train_images\1025693532.jpg,train
151,2,..\datasets\cassava-leaf-disease-classification\train_images\1026177105.jpg,train
152,0,..\datasets\cassava-leaf-disease-classification\train_images\1026467332.jpg,train
153,3,..\datasets\cassava-leaf-disease-classification\train_images\1026511145.jpg,valid
154,1,..\datasets\cassava-leaf-disease-classification\train_images\1026915452.jpg,train
155,3,..\datasets\cassava-leaf-disease-classification\train_images\102719039.jpg,train
156,3,..\datasets\cassava-leaf-disease-classification\train_images\1027550629.jpg,train
157,3,..\datasets\cassava-leaf-disease-classification\train_images\1027766963.jpg,test
158,0,..\datasets\cassava-leaf-disease-classification\train_images\1027796931.jpg,train
159,3,..\datasets\cassava-leaf-disease-classification\train_images\1028041356.jpg,test
160,3,..\datasets\cassava-leaf-disease-classification\train_images\1028105805.jpg,valid
161,4,..\datasets\cassava-leaf-disease-classification\train_images\1028128877.jpg,train
162,3,..\datasets\cassava-leaf-disease-classification\train_images\1028318593.jpg,test
163,3,..\datasets\cassava-leaf-disease-classification\train_images\1028446573.jpg,train
164,1,..\datasets\cassava-leaf-disease-classification\train_images\1028629473.jpg,train
165,2,..\datasets\cassava-leaf-disease-classification\train_images\1028697500.jpg,train
166,3,..\datasets\cassava-leaf-disease-classification\train_images\1029560899.jpg,train
167,3,..\datasets\cassava-leaf-disease-classification\train_images\102968016.jpg,train
168,3,..\datasets\cassava-leaf-disease-classification\train_images\1029778366.jpg,train
169,3,..\datasets\cassava-leaf-disease-classification\train_images\1029779424.jpg,train
170,1,..\datasets\cassava-leaf-disease-classification\train_images\1030448520.jpg,train
171,3,..\datasets\cassava-leaf-disease-classification\train_images\1031500522.jpg,train
172,3,..\datasets\cassava-leaf-disease-classification\train_images\1031772206.jpg,train
173,3,..\datasets\cassava-leaf-disease-classification\train_images\1032082353.jpg,train
174,3,..\datasets\cassava-leaf-disease-classification\train_images\1032383932.jpg,train
