,target_code,filepath,set
0,bkl,..\datasets\HAM10000\images\ISIC_0027419.jpg,train
1,bkl,..\datasets\HAM10000\images\ISIC_0025030.jpg,train
2,bkl,..\datasets\HAM10000\images\ISIC_0026769.jpg,train
3,bkl,..\datasets\HAM10000\images\ISIC_0025661.jpg,train
4,bkl,..\datasets\HAM10000\images\ISIC_0031633.jpg,train
5,bkl,..\datasets\HAM10000\images\ISIC_0027850.jpg,train
6,bkl,..\datasets\HAM10000\images\ISIC_0029176.jpg,train
7,bkl,..\datasets\HAM10000\images\ISIC_0029068.jpg,train
8,bkl,..\datasets\HAM10000\images\ISIC_0025837.jpg,train
9,bkl,..\datasets\HAM10000\images\ISIC_0025209.jpg,train
10,bkl,..\datasets\HAM10000\images\ISIC_0025276.jpg,train
11,bkl,..\datasets\HAM10000\images\ISIC_0029396.jpg,train
12,bkl,..\datasets\HAM10000\images\ISIC_0025984.jpg,train
13,bkl,..\datasets\HAM10000\images\ISIC_0025767.jpg,train
14,bkl,..\datasets\HAM10000\images\ISIC_0032417.jpg,train
15,bkl,..\datasets\HAM10000\images\ISIC_0031326.jpg,train
16,bkl,..\datasets\HAM10000\images\ISIC_0025915.jpg,train
17,bkl,..\datasets\HAM10000\images\ISIC_0031029.jpg,train
18,bkl,..\datasets\HAM10000\images\ISIC_0029836.jpg,train
19,bkl,..\datasets\HAM10000\images\ISIC_0032129.jpg,train
20,bkl,..\datasets\HAM10000\images\ISIC_0032343.jpg,train
21,bkl,..\datasets\HAM10000\images\ISIC_0025033.jpg,valid
22,bkl,..\datasets\HAM10000\images\ISIC_0027310.jpg,valid
23,bkl,..\datasets\HAM10000\images\ISIC_0032128.jpg,train
24,bkl,..\datasets\HAM10000\images\ISIC_0025937.jpg,train
25,bkl,..\datasets\HAM10000\images\ISIC_0027828.jpg,train
26,bkl,..\datasets\HAM10000\images\ISIC_0029291.jpg,train
27,bkl,..\datasets\HAM10000\images\ISIC_0030698.jpg,train
28,bkl,..\datasets\HAM10000\images\ISIC_0025567.jpg,train
29,bkl,..\datasets\HAM10000\images\ISIC_0031753.jpg,train
30,bkl,..\datasets\HAM10000\images\ISIC_0026835.jpg,train
31,bkl,..\datasets\HAM10000\images\ISIC_0031159.jpg,train
32,bkl,..\datasets\HAM10000\images\ISIC_0031017.jpg,train
33,bkl,..\datasets\HAM10000\images\ISIC_0024981.jpg,train
34,bkl,..\datasets\HAM10000\images\ISIC_0027815.jpg,valid
35,bkl,..\datasets\HAM10000\images\ISIC_0024324.jpg,train
36,bkl,..\datasets\HAM10000\images\ISIC_0029559.jpg,train
37,bkl,..\datasets\HAM10000\images\ISIC_0030661.jpg,train
38,bkl,..\datasets\HAM10000\images\ISIC_0027053.jpg,train
39,bkl,..\datasets\HAM10000\images\ISIC_0028560.jpg,train
40,bkl,..\datasets\HAM10000\images\ISIC_0031650.jpg,train
41,bkl,..\datasets\HAM10000\images\ISIC_0029161.jpg,train
42,bkl,..\datasets\HAM10000\images\ISIC_0026273.jpg,train
43,bkl,..\datasets\HAM10000\images\ISIC_0025076.jpg,train
44,bkl,..\datasets\HAM10000\images\ISIC_0029687.jpg,train
45,bkl,..\datasets\HAM10000\images\ISIC_0025642.jpg,train
46,bkl,..\datasets\HAM10000\images\ISIC_0025819.jpg,train
47,bkl,..\datasets\HAM10000\images\ISIC_0032013.jpg,train
48,bkl,..\datasets\HAM10000\images\ISIC_0031691.jpg,train
49,bkl,..\datasets\HAM10000\images\ISIC_0025419.jpg,train
50,bkl,..\datasets\HAM10000\images\ISIC_0030105.jpg,train
51,bkl,..\datasets\HAM10000\images\ISIC_0025016.jpg,train
52,bkl,..\datasets\HAM10000\images\ISIC_0029147.jpg,train
53,bkl,..\datasets\HAM10000\images\ISIC_0029301.jpg,train
54,bkl,..\datasets\HAM10000\images\ISIC_0026637.jpg,train
55,bkl,..\datasets\HAM10000\images\ISIC_0030377.jpg,train
56,bkl,..\datasets\HAM10000\images\ISIC_0027960.jpg,train
57,bkl,..\datasets\HAM10000\images\ISIC_0026955.jpg,train
58,bkl,..\datasets\HAM10000\images\ISIC_0028052.jpg,train
59,bkl,..\datasets\HAM10000\images\ISIC_0025286.jpg,train
60,bkl,..\datasets\HAM10000\images\ISIC_0031468.jpg,train
61,bkl,..\datasets\HAM10000\images\ISIC_0030926.jpg,train
62,bkl,..\datasets\HAM10000\images\ISIC_0029288.jpg,train
63,bkl,..\datasets\HAM10000\images\ISIC_0031008.jpg,train
64,nv,..\datasets\HAM10000\images\ISIC_0024698.jpg,train
65,bkl,..\datasets\HAM10000\images\ISIC_0031495.jpg,train
66,bkl,..\datasets\HAM10000\images\ISIC_0026104.jpg,train
67,bkl,..\datasets\HAM10000\images\ISIC_0025099.jpg,train
68,bkl,..\datasets\HAM10000\images\ISIC_0031485.jpg,train
69,bkl,..\datasets\HAM10000\images\ISIC_0029413.jpg,train
70,bkl,..\datasets\HAM10000\images\ISIC_0029576.jpg,train
71,bkl,..\datasets\HAM10000\images\ISIC_0031967.jpg,valid
72,bkl,..\datasets\HAM10000\images\ISIC_0031584.jpg,valid
73,bkl,..\datasets\HAM10000\images\ISIC_0025140.jpg,train
74,bkl,..\datasets\HAM10000\images\ISIC_0025554.jpg,train
75,bkl,..\datasets\HAM10000\images\ISIC_0029289.jpg,valid
76,bkl,..\datasets\HAM10000\images\ISIC_0029912.jpg,valid
77,bkl,..\datasets\HAM10000\images\ISIC_0033539.jpg,train
78,bkl,..\datasets\HAM10000\images\ISIC_0032283.jpg,train
79,bkl,..\datasets\HAM10000\images\ISIC_0030005.jpg,train
80,bkl,..\datasets\HAM10000\images\ISIC_0030189.jpg,train
81,bkl,..\datasets\HAM10000\images\ISIC_0026532.jpg,train
82,bkl,..\datasets\HAM10000\images\ISIC_0024832.jpg,train
83,bkl,..\datasets\HAM10000\images\ISIC_0026958.jpg,train
84,bkl,..\datasets\HAM10000\images\ISIC_0030768.jpg,train
85,bkl,..\datasets\HAM10000\images\ISIC_0029837.jpg,train
86,bkl,..\datasets\HAM10000\images\ISIC_0031624.jpg,valid
87,bkl,..\datasets\HAM10000\images\ISIC_0025510.jpg,valid
88,bkl,..\datasets\HAM10000\images\ISIC_0030607.jpg,train
89,bkl,..\datasets\HAM10000\images\ISIC_0029060.jpg,train
90,bkl,..\datasets\HAM10000\images\ISIC_0029308.jpg,train
91,bkl,..\datasets\HAM10000\images\ISIC_0024635.jpg,train
92,bkl,..\datasets\HAM10000\images\ISIC_0029425.jpg,train
