,target_code,filepath,set
0,NEV,..\datasets\PAD-UFES-20\images\PAT_1516_1765_530.png,train
1,BCC,..\datasets\PAD-UFES-20\images\PAT_46_881_939.png,train
2,ACK,..\datasets\PAD-UFES-20\images\PAT_1545_1867_547.png,train
3,ACK,..\datasets\PAD-UFES-20\images\PAT_1989_4061_934.png,train
4,BCC,..\datasets\PAD-UFES-20\images\PAT_684_1302_588.png,train
5,SEK,..\datasets\PAD-UFES-20\images\PAT_1549_1882_230.png,train
6,BCC,..\datasets\PAD-UFES-20\images\PAT_778_1471_835.png,train
7,BCC,..\datasets\PAD-UFES-20\images\PAT_117_179_983.png,train
8,ACK,..\datasets\PAD-UFES-20\images\PAT_1995_4080_695.png,train
9,ACK,..\datasets\PAD-UFES-20\images\PAT_705_4015_413.png,train
10,ACK,..\datasets\PAD-UFES-20\images\PAT_2140_4726_141.png,train
11,BCC,..\datasets\PAD-UFES-20\images\PAT_967_1827_247.png,valid
12,NEV,..\datasets\PAD-UFES-20\images\PAT_2088_4524_465.png,train
13,BCC,..\datasets\PAD-UFES-20\images\PAT_636_1204_521.png,valid
14,BCC,..\datasets\PAD-UFES-20\images\PAT_38_54_234.png,train
15,BCC,..\datasets\PAD-UFES-20\images\PAT_741_1401_619.png,valid
17,SEK,..\datasets\PAD-UFES-20\images\PAT_1783_3414_120.png,train
19,BCC,..\datasets\PAD-UFES-20\images\PAT_821_1547_77.png,test
20,ACK,..\datasets\PAD-UFES-20\images\PAT_1693_3103_879.png,train
21,BCC,..\datasets\PAD-UFES-20\images\PAT_875_1668_588.png,train
22,SEK,..\datasets\PAD-UFES-20\images\PAT_1653_2916_346.png,train
23,SEK,..\datasets\PAD-UFES-20\images\PAT_1790_3425_942.png,train
24,BCC,..\datasets\PAD-UFES-20\images\PAT_106_159_325.png,train
25,BCC,..\datasets\PAD-UFES-20\images\PAT_435_854_68.png,train
26,SEK,..\datasets\PAD-UFES-20\images\PAT_1902_3790_168.png,test
27,BCC,..\datasets\PAD-UFES-20\images\PAT_42_58_13.png,valid
29,ACK,..\datasets\PAD-UFES-20\images\PAT_359_4450_86.png,train
30,SEK,..\datasets\PAD-UFES-20\images\PAT_107_160_609.png,train
31,BCC,..\datasets\PAD-UFES-20\images\PAT_134_201_587.png,test
32,NEV,..\datasets\PAD-UFES-20\images\PAT_1453_1567_250.png,train
33,BCC,..\datasets\PAD-UFES-20\images\PAT_79_120_532.png,train
34,SEK,..\datasets\PAD-UFES-20\images\PAT_1926_3871_371.png,train
35,BCC,..\datasets\PAD-UFES-20\images\PAT_724_1369_896.png,train
36,SEK,..\datasets\PAD-UFES-20\images\PAT_1582_2574_34.png,train
37,ACK,..\datasets\PAD-UFES-20\images\PAT_1006_53_716.png,train
38,ACK,..\datasets\PAD-UFES-20\images\PAT_1431_1495_511.png,train
39,BCC,..\datasets\PAD-UFES-20\images\PAT_944_1795_371.png,valid
40,NEV,..\datasets\PAD-UFES-20\images\PAT_793_1512_327.png,valid
41,BCC,..\datasets\PAD-UFES-20\images\PAT_394_1562_579.png,train
42,NEV,..\datasets\PAD-UFES-20\images\PAT_1842_3615_850.png,train
43,NEV,..\datasets\PAD-UFES-20\images\PAT_621_1183_56.png,test
44,ACK,..\datasets\PAD-UFES-20\images\PAT_374_762_794.png,train
45,BCC,..\datasets\PAD-UFES-20\images\PAT_265_406_276.png,test
46,ACK,..\datasets\PAD-UFES-20\images\PAT_1074_322_662.png,train
47,ACK,..\datasets\PAD-UFES-20\images\PAT_289_1399_481.png,valid
48,NEV,..\datasets\PAD-UFES-20\images\PAT_1803_3463_639.png,train
49,ACK,..\datasets\PAD-UFES-20\images\PAT_1029_135_239.png,train
50,ACK,..\datasets\PAD-UFES-20\images\PAT_2020_4174_799.png,train
51,BCC,..\datasets\PAD-UFES-20\images\PAT_682_1292_986.png,train
52,SCC,..\datasets\PAD-UFES-20\images\PAT_805_1517_154.png,train
53,MEL,..\datasets\PAD-UFES-20\images\PAT_680_1289_182.png,train
54,BCC,..\datasets\PAD-UFES-20\images\PAT_53_1370_245.png,train
55,ACK,..\datasets\PAD-UFES-20\images\PAT_868_1657_698.png,test
56,SCC,..\datasets\PAD-UFES-20\images\PAT_183_283_495.png,valid
57,BCC,..\datasets\PAD-UFES-20\images\PAT_479_919_97.png,valid
58,NEV,..\datasets\PAD-UFES-20\images\PAT_333_1469_499.png,train
59,BCC,..\datasets\PAD-UFES-20\images\PAT_867_1650_901.png,valid
60,ACK,..\datasets\PAD-UFES-20\images\PAT_236_361_180.png,train
61,BCC,..\datasets\PAD-UFES-20\images\PAT_620_1176_980.png,train
62,ACK,..\datasets\PAD-UFES-20\images\PAT_26_37_865.png,train
63,ACK,..\datasets\PAD-UFES-20\images\PAT_2051_4356_460.png,train
64,ACK,..\datasets\PAD-UFES-20\images\PAT_1381_1314_517.png,test
65,SEK,..\datasets\PAD-UFES-20\images\PAT_544_3299_671.png,test
66,ACK,..\datasets\PAD-UFES-20\images\PAT_2025_4229_541.png,train
67,BCC,..\datasets\PAD-UFES-20\images\PAT_814_1532_545.png,train
68,ACK,..\datasets\PAD-UFES-20\images\PAT_1014_86_861.png,train
69,NEV,..\datasets\PAD-UFES-20\images\PAT_1984_4038_265.png,train
70,BCC,..\datasets\PAD-UFES-20\images\PAT_920_1747_19.png,train
71,BCC,..\datasets\PAD-UFES-20\images\PAT_838_1585_282.png,train
72,ACK,..\datasets\PAD-UFES-20\images\PAT_1255_876_939.png,train
74,SEK,..\datasets\PAD-UFES-20\images\PAT_411_815_692.png,train
75,ACK,..\datasets\PAD-UFES-20\images\PAT_795_1508_925.png,train
76,BCC,..\datasets\PAD-UFES-20\images\PAT_288_441_312.png,train
77,BCC,..\datasets\PAD-UFES-20\images\PAT_692_1308_364.png,train
78,ACK,..\datasets\PAD-UFES-20\images\PAT_1278_965_701.png,train
79,ACK,..\datasets\PAD-UFES-20\images\PAT_1094_381_85.png,train
80,ACK,..\datasets\PAD-UFES-20\images\PAT_645_4043_374.png,train
81,ACK,..\datasets\PAD-UFES-20\images\PAT_963_1820_823.png,train
82,BCC,..\datasets\PAD-UFES-20\images\PAT_241_367_89.png,test
83,SCC,..\datasets\PAD-UFES-20\images\PAT_882_1677_789.png,train
84,ACK,..\datasets\PAD-UFES-20\images\PAT_1725_3222_943.png,train
85,BCC,..\datasets\PAD-UFES-20\images\PAT_98_152_562.png,train
86,MEL,..\datasets\PAD-UFES-20\images\PAT_995_1867_5.png,valid
87,ACK,..\datasets\PAD-UFES-20\images\PAT_1884_3730_813.png,train
88,SCC,..\datasets\PAD-UFES-20\images\PAT_369_755_391.png,train
89,NEV,..\datasets\PAD-UFES-20\images\PAT_1276_957_406.png,train
90,ACK,..\datasets\PAD-UFES-20\images\PAT_1070_305_907.png,train
91,ACK,..\datasets\PAD-UFES-20\images\PAT_1688_3066_491.png,valid
92,BCC,..\datasets\PAD-UFES-20\images\PAT_981_1848_906.png,train
93,BCC,..\datasets\PAD-UFES-20\images\PAT_409_812_974.png,train
94,ACK,..\datasets\PAD-UFES-20\images\PAT_276_425_539.png,train
95,BCC,..\datasets\PAD-UFES-20\images\PAT_430_848_476.png,train
96,BCC,..\datasets\PAD-UFES-20\images\PAT_419_832_706.png,train
97,ACK,..\datasets\PAD-UFES-20\images\PAT_1423_1472_18.png,train
98,BCC,..\datasets\PAD-UFES-20\images\PAT_55_84_506.png,train
99,ACK,..\datasets\PAD-UFES-20\images\PAT_1710_3160_488.png,train
100,ACK,..\datasets\PAD-UFES-20\images\PAT_1818_3568_132.png,train
101,ACK,..\datasets\PAD-UFES-20\images\PAT_1414_1429_59.png,test
102,ACK,..\datasets\PAD-UFES-20\images\PAT_1573_2499_849.png,train
103,SCC,..\datasets\PAD-UFES-20\images\PAT_377_1580_534.png,train
104,ACK,..\datasets\PAD-UFES-20\images\PAT_802_1516_910.png,train
105,BCC,..\datasets\PAD-UFES-20\images\PAT_962_1823_942.png,valid
106,NEV,..\datasets\PAD-UFES-20\images\PAT_1109_437_254.png,train
107,BCC,..\datasets\PAD-UFES-20\images\PAT_241_367_374.png,test
108,ACK,..\datasets\PAD-UFES-20\images\PAT_1210_738_915.png,train
109,ACK,..\datasets\PAD-UFES-20\images\PAT_1492_1705_578.png,train
110,SCC,..\datasets\PAD-UFES-20\images\PAT_492_937_958.png,valid
111,SEK,..\datasets\PAD-UFES-20\images\PAT_1400_1372_276.png,train
112,MEL,..\datasets\PAD-UFES-20\images\PAT_966_1825_584.png,test
113,ACK,..\datasets\PAD-UFES-20\images\PAT_181_833_109.png,valid
114,ACK,..\datasets\PAD-UFES-20\images\PAT_263_404_410.png,valid
115,SCC,..\datasets\PAD-UFES-20\images\PAT_549_1043_676.png,train
116,BCC,..\datasets\PAD-UFES-20\images\PAT_461_895_72.png,train
117,BCC,..\datasets\PAD-UFES-20\images\PAT_875_1669_946.png,train
118,SEK,..\datasets\PAD-UFES-20\images\PAT_1721_3219_737.png,train
119,SCC,..\datasets\PAD-UFES-20\images\PAT_714_1337_709.png,train
120,BCC,..\datasets\PAD-UFES-20\images\PAT_426_842_458.png,train
121,BCC,..\datasets\PAD-UFES-20\images\PAT_847_1610_165.png,train
122,ACK,..\datasets\PAD-UFES-20\images\PAT_281_1516_753.png,train
123,BCC,..\datasets\PAD-UFES-20\images\PAT_168_1486_97.png,train
