,target_code,filepath,set
0,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (1).jpg,train
1,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (10).jpg,train
2,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (100).jpg,train
3,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (101).jpg,train
4,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (102).jpg,test
5,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (103).jpg,train
6,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (104).jpg,train
7,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (105).jpg,train
8,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (106).jpg,train
9,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (107).jpg,valid
10,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (108).jpg,test
11,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (109).jpg,train
12,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (11).jpg,valid
13,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (110).jpg,train
14,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (111).jpg,train
15,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (112).jpg,test
16,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (113).jpg,train
17,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (114).jpg,train
18,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (115).jpg,train
19,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (116).jpg,test
20,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (117).jpg,train
21,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (118).jpg,train
22,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (119).jpg,test
23,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (12).jpg,train
24,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (120).jpg,train
25,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (121).jpg,train
26,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (122).jpg,train
27,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (123).jpg,train
28,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (124).jpg,train
29,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (125).jpg,train
30,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (126).jpg,train
31,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (127).jpg,train
32,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (128).jpg,train
33,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (129).jpg,train
34,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (13).jpg,train
35,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (130).jpg,valid
36,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (131).jpg,train
37,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (132).jpg,train
38,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (133).jpg,train
39,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (134).jpg,valid
40,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (135).jpg,train
41,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (136).jpg,train
42,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (137).jpg,train
43,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (138).jpg,train
44,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (139).jpg,train
45,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (14).jpg,train
46,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (140).jpg,train
47,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (141).jpg,train
48,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (142).jpg,train
49,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (143).jpg,valid
50,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (144).jpg,valid
51,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (145).jpg,train
52,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (146).jpg,test
53,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (147).jpg,test
54,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (148).jpg,train
55,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (149).jpg,valid
56,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (15).jpg,train
57,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (150).jpg,test
58,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (151).jpg,train
59,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (152).jpg,train
60,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (153).jpg,train
61,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (154).jpg,train
62,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (155).jpg,train
63,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (156).jpg,train
64,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (157).jpg,train
65,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (158).jpg,train
66,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (159).jpg,test
67,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (16).jpg,train
68,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (160).jpg,train
69,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (161).jpg,test
70,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (162).jpg,train
71,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (17).jpg,valid
72,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (18).jpg,train
73,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (19).jpg,train
74,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (2).jpg,test
75,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (20).jpg,train
76,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (21).jpg,train
77,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (22).jpg,train
78,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (23).jpg,train
79,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (24).jpg,train
80,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (25).jpg,train
81,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (26).jpg,test
82,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (27).jpg,train
83,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (28).jpg,train
84,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (29).jpg,train
85,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (3).jpg,valid
86,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (30).jpg,valid
87,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (31).jpg,train
88,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (32).jpg,train
89,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (33).jpg,train
90,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (34).jpg,train
91,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (35).jpg,train
92,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (36).jpg,train
93,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (37).jpg,valid
94,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (38).jpg,train
95,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (39).jpg,train
96,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (4).jpg,train
97,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (40).jpg,valid
98,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (41).jpg,test
99,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (42).jpg,train
100,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (43).jpg,train
101,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (44).jpg,valid
102,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (45).jpg,train
103,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (46).jpg,train
104,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (47).jpg,valid
105,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (48).jpg,train
106,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (49).jpg,train
107,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (5).jpg,train
108,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (50).jpg,valid
109,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (51).jpg,train
110,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (52).jpg,test
111,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (53).jpg,train
112,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (54).jpg,train
113,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (55).jpg,test
114,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (56).jpg,train
115,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (57).jpg,train
116,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (58).jpg,train
117,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (59).jpg,train
118,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (6).jpg,train
119,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (60).jpg,train
120,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (61).jpg,train
121,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (62).jpg,train
122,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (63).jpg,train
123,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (64).jpg,train
124,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (65).jpg,train
125,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (66).jpg,train
126,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (67).jpg,train
127,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (68).jpg,train
128,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (69).jpg,train
129,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (7).jpg,train
130,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (70).jpg,train
131,Apple Aphis spp(162),..\datasets\PlantDataset\Apple Aphis spp(162)\img (71).jpg,train
