,target_code,filepath,set
0,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\20130519yellowingappleleaves.jpg,train
1,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\2017-09-23-07-48-04.jpg,train
2,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\4633813-sweet-apple-with-leaf.jpg,train
3,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\Apple-Leaves-Diabetes.jpg,valid
4,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\apple-tree-branch-blossom-plant-fruit-berry-leaf-flower-food-green-produce.jpg,valid
5,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\apple-tree-branch-green-leaves-fresh-isolated-white-background-33032922.jpg,train
6,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\apple-tree-branch-green-leaves-fresh-isolated-white-background-33032924.jpg,train
7,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\apple-tree-branch-plant-fruit-leaf-flower-food-green-produce-flora-immature-apple-tree-flowering-plant-wild-apple-tree-apple-gear-land-plant-606389.jpg,train
8,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\apple-tree-leaf-curl-apple-tree-leaf-curl-aphids-apple-tree-leaves-curling-too-much-water.jpg,train
9,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\apple-tree-leaves.jpg,train
10,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\appleleaf+trial+007.JPG.jpg,train
11,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\AppleLeavesInRain.jpg,train
12,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\apples_silver-leaf_04_zoom.jpg,train
13,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\Apple_tree_leaf_J1.jpg,train
14,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\autumn-red-apple-leaves.jpg,train
15,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\bright-red-crab-apple-fruit-malus-john-downie-on-the-tree-in-late-KH3WRX.jpg,train
16,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\closeup-red-apple-fruit-leaf-isolated-white-background-57605895.jpg,train
17,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\Crab-Apple-%28Malus-Sylvestris%29-Leaf.jpg,train
18,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\CRABAPPLE2_leaves.jpg,train
19,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\CRABAPPLE3_leaves.jpg,train
20,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\CRABAPPLE_leaves.jpg,train
21,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\crab_apple_03_leaves.jpg,train
22,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\depositphotos_27383223-stock-photo-apple-leaves.jpg,train
23,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\depositphotos_30057617-Green-leaf-of-apple-tree.jpg,train
24,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\depositphotos_4505396-Green-apple-leaf.jpg,train
25,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\depositphotos_45748597-stock-photo-ripe-apple-with-leaf.jpg,valid
26,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\depositphotos_55202179-stock-photo-green-apple-with-leaf-and.jpg,train
27,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\depositphotos_56066889-stock-photo-apple-with-leaf.jpg,train
28,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\depositphotos_6657863-stock-photo-single-red-apple-with-leaf.jpg,train
29,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\Dwarf-Apple-Pink-Lady-2545.jpeg.jpg,train
30,Apple leaf,"..\datasets\plantdoc-dataset\train\Apple leaf\flat,1000x1000,075,f.u2.jpg",train
31,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\fresh-wet-green-apple-leaf-water-drops-isolated-white-background-31353097.jpg,train
32,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\fruit_apple_apple-tree_wallpaper_EA60026.jpg,train
33,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\green-apple-fruits-leaf-16266077.jpg,train
34,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\green-apple-fruits-leaf-25050127.jpg,train
35,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\green-apple-leaf-26110796.jpg,train
36,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\green-apple-leaf-cut-white-ripe-background-clipping-path-42422046.jpg,train
37,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\green-apple-leaf-slice-isolated-white-ripe-background-clipping-path-42352971.jpg,train
38,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\green-apple-leaf-slice-isolated-white-ripe-background-clipping-path-44598638.jpg,train
39,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\green-apple-leaf-slice-isolated-white-ripe-background-clipping-path-45471482.jpg,train
40,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\green-apple-leaf-white-background-33503979.jpg,train
41,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\green-leaf-apple-tree-14300049.jpg,train
42,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\green-leaf-apple-tree-isolated-white-background-33032695.jpg,train
43,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\green-leaf-picture-id177130309b=1&k=6&m=177130309&s=612x612&w=0&h=VP3U0AM5j0fvQqOwuI5f7cmb2Ji88mVep0eoXQaJRfs=.jpg,train
44,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\grow-an-apple-tree-from-seed-in-singapore-img5.jpg,valid
45,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\June%2B2010%2B022.JPG.jpg,valid
46,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\leaf-apple-tree-one-green-isolated-41556482.jpg,train
47,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\leaves-isolated-on-white-background-picture-id537925565k=6&m=537925565&s=612x612&w=0&h=Ogzc4YHTI4i4q9aiTIG6Zq2sAMv6xTKiDlCmYANlzK8=.jpg,valid
48,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\Malus+sylvestris+-+Crab+Apple+04.jpg,train
49,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\malus-floribunda-le-amoro2-a.jpg,train
50,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\red-apple-green-leaf-isolated-white-background-57496220.jpg,train
51,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\red-apple-leaf-slice-white-background-29914331.jpg,train
52,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\red-apple-leaves-309078.jpg,train
53,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\red-apple-one-leaf-13226302.jpg,train
54,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\ripe-red-apple-with-green-leaf-isolated-on-white-picture-id184640296s=612x612.jpg,train
55,Apple leaf,..\datasets\plantdoc-dataset\train\Apple leaf\ripe-red-apple-with-leaf-picture-id117485645b=1&k=6&m=117485645&s=612x612&w=0&h=Ii96HYzF-2E5ky-IcXbVhvEFvU28o0rlkwagb7T6LhY=.jpg,train
