,architecture,downstream,pre-training,number_of_samples,model_name,f1_macro_mean,f1_macro_std,f1_macro_count
0,ResNet50,Cassava,Derma_SSL_SimCLR,1,dc,0.01921708185053381,0.0,100
1,ResNet50,Cassava,Derma_SSL_SimCLR,1,knn,0.18468564326621287,0.03574381505915395,100
2,ResNet50,Cassava,Derma_SSL_SimCLR,1,lr,0.16351466545188184,0.045919483011585806,100
3,ResNet50,Cassava,Derma_SSL_SimCLR,10,dc,0.01921708185053381,0.0,100
4,ResNet50,Cassava,Derma_SSL_SimCLR,10,knn,0.20867926056014105,0.018468866013709704,100
5,ResNet50,Cassava,Derma_SSL_SimCLR,10,lr,0.21713836402145925,0.03596007109564669,100
6,ResNet50,Cassava,Derma_SSL_SimCLR,100,dc,0.01921708185053381,0.0,100
7,ResNet50,Cassava,Derma_SSL_SimCLR,100,knn,0.27183741099425635,0.017934302494754414,100
8,ResNet50,Cassava,Derma_SSL_SimCLR,100,lr,0.26201350884179386,0.019290573232534934,100
9,ResNet50,Cassava,Derma_SSL_SimCLR,3,dc,0.01921708185053381,0.0,100
10,ResNet50,Cassava,Derma_SSL_SimCLR,3,knn,0.19472340912556915,0.02588273893362739,100
11,ResNet50,Cassava,Derma_SSL_SimCLR,3,lr,0.18925677259426607,0.04411411139295408,100
12,ResNet50,Cassava,Derma_SSL_SimCLR,30,dc,0.01921708185053381,0.0,100
13,ResNet50,Cassava,Derma_SSL_SimCLR,30,knn,0.23683904553699175,0.02269624515878637,100
14,ResNet50,Cassava,Derma_SSL_SimCLR,30,lr,0.24176091795676702,0.02935725714291811,100
15,ResNet50,Cassava,ImageNet_1k_SL_V1,1,dc,0.01921708185053381,0.0,100
16,ResNet50,Cassava,ImageNet_1k_SL_V1,1,knn,0.22032070858423977,0.04780828057243433,100
17,ResNet50,Cassava,ImageNet_1k_SL_V1,1,lr,0.23087635764596687,0.04701878088159807,100
18,ResNet50,Cassava,ImageNet_1k_SL_V1,10,dc,0.01921708185053381,0.0,100
19,ResNet50,Cassava,ImageNet_1k_SL_V1,10,knn,0.28782795978841974,0.029191178859092694,100
20,ResNet50,Cassava,ImageNet_1k_SL_V1,10,lr,0.35210175034478813,0.029474045285814977,100
21,ResNet50,Cassava,ImageNet_1k_SL_V1,100,dc,0.01921708185053381,0.0,100
22,ResNet50,Cassava,ImageNet_1k_SL_V1,100,knn,0.433329553751268,0.01982654013211318,100
23,ResNet50,Cassava,ImageNet_1k_SL_V1,100,lr,0.47745195071547786,0.013694300985285249,100
24,ResNet50,Cassava,ImageNet_1k_SL_V1,3,dc,0.01921708185053381,0.0,100
25,ResNet50,Cassava,ImageNet_1k_SL_V1,3,knn,0.25314312739128497,0.03847974812797821,100
26,ResNet50,Cassava,ImageNet_1k_SL_V1,3,lr,0.2841565109151583,0.03971819306225285,100
27,ResNet50,Cassava,ImageNet_1k_SL_V1,30,dc,0.01921708185053381,0.0,100
28,ResNet50,Cassava,ImageNet_1k_SL_V1,30,knn,0.35697011095390707,0.030047624154791144,100
29,ResNet50,Cassava,ImageNet_1k_SL_V1,30,lr,0.41920147637798033,0.01943821598467719,100
30,ResNet50,Cassava,ImageNet_1k_SSL_SimCLR,1,dc,0.01921708185053381,0.0,100
31,ResNet50,Cassava,ImageNet_1k_SSL_SimCLR,1,knn,0.16058171380347422,0.025136074424264764,100
32,ResNet50,Cassava,ImageNet_1k_SSL_SimCLR,1,lr,0.1618606611071395,0.027583629313199753,100
33,ResNet50,Cassava,ImageNet_1k_SSL_SimCLR,10,dc,0.01921708185053381,0.0,100
34,ResNet50,Cassava,ImageNet_1k_SSL_SimCLR,10,knn,0.17222144109119694,0.01588126346052643,100
35,ResNet50,Cassava,ImageNet_1k_SSL_SimCLR,10,lr,0.1955351303431691,0.017572596421175833,100
36,ResNet50,Cassava,ImageNet_1k_SSL_SimCLR,100,dc,0.01921708185053381,0.0,100
37,ResNet50,Cassava,ImageNet_1k_SSL_SimCLR,100,knn,0.19173426662402399,0.013312384664033273,100
38,ResNet50,Cassava,ImageNet_1k_SSL_SimCLR,100,lr,0.22369709236138355,0.010115372518523773,100
39,ResNet50,Cassava,ImageNet_1k_SSL_SimCLR,3,dc,0.01921708185053381,0.0,100
40,ResNet50,Cassava,ImageNet_1k_SSL_SimCLR,3,knn,0.16959871018283224,0.017250358498409356,100
41,ResNet50,Cassava,ImageNet_1k_SSL_SimCLR,3,lr,0.17887980057982325,0.023106960796304025,100
42,ResNet50,Cassava,ImageNet_1k_SSL_SimCLR,30,dc,0.01921708185053381,0.0,100
43,ResNet50,Cassava,ImageNet_1k_SSL_SimCLR,30,knn,0.1749685444956468,0.01733122223952722,100
44,ResNet50,Cassava,ImageNet_1k_SSL_SimCLR,30,lr,0.20800763485720988,0.012415134936514145,100
45,ResNet50,Cassava,PDDD,1,dc,0.01921708185053381,0.0,100
46,ResNet50,Cassava,PDDD,1,knn,0.16940369892401505,0.04737859989887126,100
47,ResNet50,Cassava,PDDD,1,lr,0.19079201581922955,0.04611246133471769,100
48,ResNet50,Cassava,PDDD,10,dc,0.01921708185053381,0.0,100
49,ResNet50,Cassava,PDDD,10,knn,0.206631303029981,0.034533645322105636,100
50,ResNet50,Cassava,PDDD,10,lr,0.30348107742031255,0.02971057248387417,100
51,ResNet50,Cassava,PDDD,100,dc,0.01921708185053381,0.0,100
52,ResNet50,Cassava,PDDD,100,knn,0.2777046843680001,0.030057668267429966,100
53,ResNet50,Cassava,PDDD,100,lr,0.41813495702867765,0.010757511452082816,100
54,ResNet50,Cassava,PDDD,3,dc,0.01921708185053381,0.0,100
55,ResNet50,Cassava,PDDD,3,knn,0.20069801362716513,0.038356041491574476,100
56,ResNet50,Cassava,PDDD,3,lr,0.2402335013352074,0.038529957320345955,100
57,ResNet50,Cassava,PDDD,30,dc,0.01921708185053381,0.0,100
58,ResNet50,Cassava,PDDD,30,knn,0.23062122526293552,0.03230213224513996,100
59,ResNet50,Cassava,PDDD,30,lr,0.3629232581408282,0.018159346947439033,100
